# pmra0 pmdec0 thet incl rad0 rotvel sigma_pmra sigma_pmdec phi_tid theta_tid vel_tid
2.11966 0.80788 145.98539 -9.58739 -1.50385 9.54456 -0.99239 -1.59967 239.36466 -48.66536 -0.12038
2.03011 0.66400 241.80148 -9.43698 -0.88033 8.61735 -1.33231 -1.58063 193.81569 -32.13397 0.10711
1.72773 0.64139 176.28512 -28.45012 -1.33690 4.06551 -1.33368 -1.18426 220.03943 -9.27472 0.10688
-2.74636 0.32365 285.26762 27.27617 -1.27669 -35.97721 -0.28931 -1.39377 50.26415 26.34290 -0.90868
2.01624 -0.83600 200.55640 18.65141 -1.18655 -13.35456 -1.56478 -1.04980 249.33711 8.18411 0.63312
1.78603 0.51217 154.92677 -24.74910 -1.23428 3.54487 -1.53901 -1.27578 248.98003 -12.63945 0.16191
1.32697 -0.84502 66.87589 -5.90698 -1.06192 -10.60259 -0.88614 -0.79408 315.89070 -29.66588 0.99544
1.41605 0.38283 220.06900 -9.76329 -1.01607 31.92896 -0.80486 -1.36260 192.97166 -39.65609 -0.16294
1.89101 0.61329 95.31231 5.97090 -1.06255 3.51064 -0.44649 -1.39402 283.66293 -58.04502 -0.04301
1.28139 0.22794 222.67814 -5.89742 -0.88109 -8.00490 -1.66802 -1.37526 115.59392 -30.08473 0.14177
1.80489 0.19916 202.10309 2.98359 -0.50215 8.28681 -1.46020 -1.15106 184.05376 -29.95697 0.39116
2.35639 -1.20887 230.12848 -21.87467 -0.92596 36.52861 -1.51353 -0.39194 195.97564 38.74171 0.85341
2.64917 0.52485 257.71572 -24.98156 -0.10595 11.44499 -1.06718 -1.27974 120.38729 -24.84357 0.98151
2.01735 0.66839 123.57080 0.30754 -0.87420 6.84835 -0.70428 -1.31964 270.56765 -48.39491 0.02597
1.83353 0.63829 154.95486 -5.98816 -1.19844 9.59648 -1.05582 -1.12409 218.11431 -17.92318 0.36087
1.58224 0.11744 184.17343 -40.47151 -1.11489 5.73569 -1.69995 -1.09901 221.86219 -5.14443 0.11764
1.36226 -0.16516 235.41689 -27.75681 -0.34339 7.76795 -1.49342 -0.89059 189.72177 6.51013 0.29373
1.84652 0.57254 220.78648 -6.40894 -0.94022 8.96893 -1.14598 -1.58258 221.86257 -32.66782 0.07532
1.94614 0.36598 213.72350 -9.44435 -1.01128 13.00907 -1.12455 -1.28082 199.80262 -25.77553 0.28306
